data;descricao;valor
07/01/2026;FGTS CONECTIVIDADE SOCIAL;-5133,92
18/01/2026;POSTO SHELL CENTRO ABASTECIMENTO;-1217,79
22/01/2026;GOOGLE ADS CAMPANHA;-1763,92
22/01/2026;META ADS FACEBOOK INSTAGRAM;-2112,27
28/01/2026;TARIFA PACOTE DE SERVICOS BANCARIOS;-89,90
28/01/2026;IOF OPERACOES;-73,59
24/01/2026;PAGAMENTO DIVERSOS;-1391,13
06/02/2026;PIX RECEBIDO Northwind Logistica;23300,33
11/02/2026;PIX RECEBIDO Atlas Cloud;24446,48
16/02/2026;PIX RECEBIDO Meridian Design;14819,75
21/02/2026;PIX RECEBIDO AURORA VAREJO SA;32093,85
26/02/2026;PIX RECEBIDO COSTA & FILHOS;16622,15
09/02/2026;PIX RECEBIDO Brightwell Suprimentos Ltda;18491,43
23/02/2026;PIX RECEBIDO CLIENTE EVENTUAL 44;5990,12
19/02/2026;RECEBIMENTO CARTAO STONE VENDAS;9678,90
08/02/2026;BOLETO FORNECEDOR TEXTIL SA;-15548,65
13/02/2026;BOLETO DISTRIBUIDORA SUL LTDA;-14426,89
17/02/2026;BOLETO PAPELARIA UNIAO;-2284,79
05/02/2026;FOLHA DE PAGAMENTO FUNCIONARIOS;-62615,93
05/02/2026;PRO-LABORE SOCIOS;-18000,00
10/02/2026;ALUGUEL IMOBILIARIA CENTRAL;-9500,00
12/02/2026;ENEL DISTRIBUICAO ENERGIA;-2257,19
12/02/2026;VIVO INTERNET FIBRA EMPRESA;-419,90
13/02/2026;SABESP CONTA DE AGUA;-265,37
15/02/2026;AWS AMAZON WEB SERVICES;-1840,00
15/02/2026;OPENAI CHATGPT;-560,00
16/02/2026;ADOBE CREATIVE CLOUD;-320,00
16/02/2026;GOOGLE WORKSPACE;-410,00
17/02/2026;MICROSOFT OFFICE 365;-290,00
17/02/2026;SLACK TECNOLOGIA;-180,00
18/02/2026;FIGMA INC;-240,00
18/02/2026;GITHUB COPILOT;-90,00
20/02/2026;DARF IRPJ;-9043,51
20/02/2026;DAS SIMPLES NACIONAL;-5200,00
07/02/2026;INSS GPS GUIA PREVIDENCIA;-9043,51
07/02/2026;FGTS CONECTIVIDADE SOCIAL;-4849,38
18/02/2026;POSTO SHELL CENTRO ABASTECIMENTO;-1343,76
22/02/2026;GOOGLE ADS CAMPANHA;-2933,33
22/02/2026;META ADS FACEBOOK INSTAGRAM;-2583,96
28/02/2026;TARIFA PACOTE DE SERVICOS BANCARIOS;-89,90
28/02/2026;IOF OPERACOES;-75,32
06/03/2026;PIX RECEBIDO NORTHWIND LOGISTICA COMERCIO;29989,28
11/03/2026;PIX RECEBIDO Atlas Cloud;30410,01
16/03/2026;PIX RECEBIDO Meridian Design;18468,77
21/03/2026;PIX RECEBIDO AURORA VAREJO;48967,03
26/03/2026;PIX RECEBIDO COSTA E FILHOS LTDA;20327,00
09/03/2026;PIX RECEBIDO BRIGHTWELL SUPRIMENTOS;27835,08
19/03/2026;RECEBIMENTO CARTAO STONE VENDAS;7946,51
08/03/2026;BOLETO FORNECEDOR TEXTIL SA;-18152,96
13/03/2026;BOLETO DISTRIBUIDORA SUL LTDA;-14147,81
17/03/2026;BOLETO PAPELARIA UNIAO;-2055,56
05/03/2026;FOLHA DE PAGAMENTO FUNCIONARIOS;-63634,19
05/03/2026;PRO-LABORE SOCIOS;-18000,00
10/03/2026;ALUGUEL IMOBILIARIA CENTRAL;-9500,00
12/03/2026;ENEL DISTRIBUICAO ENERGIA;-1632,97
12/03/2026;VIVO INTERNET FIBRA EMPRESA;-419,90
13/03/2026;SABESP CONTA DE AGUA;-328,60
15/03/2026;AWS AMAZON WEB SERVICES;-1840,00
15/03/2026;OPENAI CHATGPT;-560,00
16/03/2026;ADOBE CREATIVE CLOUD;-320,00
16/03/2026;GOOGLE WORKSPACE;-410,00
17/03/2026;MICROSOFT OFFICE 365;-290,00
17/03/2026;SLACK TECNOLOGIA;-180,00
18/03/2026;FIGMA INC;-240,00
18/03/2026;GITHUB COPILOT;-90,00
20/03/2026;DARF IRPJ;-7095,86
20/03/2026;DAS SIMPLES NACIONAL;-5200,00
07/03/2026;INSS GPS GUIA PREVIDENCIA;-8897,24
07/03/2026;FGTS CONECTIVIDADE SOCIAL;-5117,05
18/03/2026;POSTO SHELL CENTRO ABASTECIMENTO;-1544,49
22/03/2026;GOOGLE ADS CAMPANHA;-3330,11
22/03/2026;META ADS FACEBOOK INSTAGRAM;-2016,48
28/03/2026;TARIFA PACOTE DE SERVICOS BANCARIOS;-89,90
28/03/2026;IOF OPERACOES;-89,55
25/03/2026;TRANSFERENCIA ENTRE CONTAS PROPRIAS;-20000,00
24/03/2026;PAGAMENTO DIVERSOS;-692,90
06/04/2026;PIX RECEBIDO Northwind Logistica;23800,45
11/04/2026;PIX RECEBIDO ATLAS CLOUD COMERCIO;28066,51
16/04/2026;PIX RECEBIDO MERIDIAN DESIGN ME;22003,39
21/04/2026;PIX RECEBIDO AURORA VAREJO;47285,71
26/04/2026;PIX RECEBIDO COSTA & FILHOS;21809,75
09/04/2026;PIX RECEBIDO Brightwell Suprimentos Ltda;28067,52
19/04/2026;RECEBIMENTO CARTAO STONE VENDAS;13228,87
08/04/2026;BOLETO FORNECEDOR TEXTIL SA;-23031,22
13/04/2026;BOLETO DISTRIBUIDORA SUL LTDA;-14458,58
17/04/2026;BOLETO PAPELARIA UNIAO;-2304,33
05/04/2026;FOLHA DE PAGAMENTO FUNCIONARIOS;-64238,15
05/04/2026;PRO-LABORE SOCIOS;-18000,00
10/04/2026;ALUGUEL IMOBILIARIA CENTRAL;-9500,00
12/04/2026;ENEL DISTRIBUICAO ENERGIA;-2219,21
12/04/2026;VIVO INTERNET FIBRA EMPRESA;-419,90
13/04/2026;SABESP CONTA DE AGUA;-293,33
15/04/2026;AWS AMAZON WEB SERVICES;-1840,00
15/04/2026;OPENAI CHATGPT;-560,00
16/04/2026;ADOBE CREATIVE CLOUD;-320,00
16/04/2026;GOOGLE WORKSPACE;-410,00
17/04/2026;MICROSOFT OFFICE 365;-290,00
17/04/2026;SLACK TECNOLOGIA;-180,00
18/04/2026;FIGMA INC;-240,00
18/04/2026;GITHUB COPILOT;-90,00
20/04/2026;DARF IRPJ;-8770,87
20/04/2026;DAS SIMPLES NACIONAL;-5200,00
07/04/2026;INSS GPS GUIA PREVIDENCIA;-9111,94
07/04/2026;FGTS CONECTIVIDADE SOCIAL;-4875,61
18/04/2026;POSTO SHELL CENTRO ABASTECIMENTO;-1190,07
22/04/2026;GOOGLE ADS CAMPANHA;-2687,10
22/04/2026;META ADS FACEBOOK INSTAGRAM;-3233,57
28/04/2026;TARIFA PACOTE DE SERVICOS BANCARIOS;-89,90
28/04/2026;IOF OPERACOES;-73,27
06/05/2026;PIX RECEBIDO Northwind Logistica;26606,20
11/05/2026;PIX RECEBIDO ATLAS CLOUD LTDA;31130,94
16/05/2026;PIX RECEBIDO Meridian Design;21365,83
21/05/2026;PIX RECEBIDO AURORA VAREJO SA;41373,21
26/05/2026;PIX RECEBIDO COSTA E FILHOS LTDA;22404,69
09/05/2026;PIX RECEBIDO BRIGHTWELL SUPRIMENTOS;22649,49
19/05/2026;RECEBIMENTO CARTAO STONE VENDAS;9578,25
08/05/2026;BOLETO FORNECEDOR TEXTIL SA;-20397,22
13/05/2026;BOLETO DISTRIBUIDORA SUL LTDA;-12358,63
17/05/2026;BOLETO PAPELARIA UNIAO;-1746,82
05/05/2026;FOLHA DE PAGAMENTO FUNCIONARIOS;-65154,73
05/05/2026;PRO-LABORE SOCIOS;-18000,00
10/05/2026;ALUGUEL IMOBILIARIA CENTRAL;-9500,00
12/05/2026;ENEL DISTRIBUICAO ENERGIA;-1777,54
12/05/2026;VIVO INTERNET FIBRA EMPRESA;-419,90
13/05/2026;SABESP CONTA DE AGUA;-265,44
15/05/2026;AWS AMAZON WEB SERVICES;-1840,00
15/05/2026;OPENAI CHATGPT;-560,00
16/05/2026;ADOBE CREATIVE CLOUD;-320,00
16/05/2026;GOOGLE WORKSPACE;-410,00
17/05/2026;MICROSOFT OFFICE 365;-290,00
17/05/2026;SLACK TECNOLOGIA;-180,00
18/05/2026;FIGMA INC;-240,00
18/05/2026;GITHUB COPILOT;-90,00
20/05/2026;DARF IRPJ;-8753,60
20/05/2026;DAS SIMPLES NACIONAL;-5200,00
07/05/2026;INSS GPS GUIA PREVIDENCIA;-9105,70
07/05/2026;FGTS CONECTIVIDADE SOCIAL;-4837,79
18/05/2026;POSTO SHELL CENTRO ABASTECIMENTO;-1453,01
22/05/2026;GOOGLE ADS CAMPANHA;-3521,16
22/05/2026;META ADS FACEBOOK INSTAGRAM;-3268,91
28/05/2026;TARIFA PACOTE DE SERVICOS BANCARIOS;-89,90
28/05/2026;IOF OPERACOES;-22,78
24/05/2026;PAGAMENTO DIVERSOS;-384,70
06/06/2026;PIX RECEBIDO NORTHWIND LOGISTICA COMERCIO;27539,19
11/06/2026;PIX RECEBIDO Atlas Cloud;26532,66
16/06/2026;PIX RECEBIDO Meridian Design;23151,23
21/06/2026;PIX RECEBIDO AURORA VAREJO SA;38638,83
26/06/2026;PIX RECEBIDO COSTA & FILHOS;16732,39
09/06/2026;PIX RECEBIDO BRIGHTWELL SUPRIMENTOS;25423,79
19/06/2026;RECEBIMENTO CARTAO STONE VENDAS;9384,26
08/06/2026;BOLETO FORNECEDOR TEXTIL SA;-22340,24
13/06/2026;BOLETO DISTRIBUIDORA SUL LTDA;-15540,70
17/06/2026;BOLETO PAPELARIA UNIAO;-2083,03
05/06/2026;FOLHA DE PAGAMENTO FUNCIONARIOS;-62625,61
05/06/2026;PRO-LABORE SOCIOS;-18000,00
10/06/2026;ALUGUEL IMOBILIARIA CENTRAL;-9500,00
12/06/2026;ENEL DISTRIBUICAO ENERGIA;-2219,15
12/06/2026;VIVO INTERNET FIBRA EMPRESA;-419,90
13/06/2026;SABESP CONTA DE AGUA;-334,09
15/06/2026;AWS AMAZON WEB SERVICES;-1840,00
15/06/2026;OPENAI CHATGPT;-560,00
16/06/2026;ADOBE CREATIVE CLOUD;-320,00
16/06/2026;GOOGLE WORKSPACE;-410,00
17/06/2026;MICROSOFT OFFICE 365;-290,00
17/06/2026;SLACK TECNOLOGIA;-180,00
18/06/2026;FIGMA INC;-240,00
18/06/2026;GITHUB COPILOT;-90,00
20/06/2026;DARF IRPJ;-8611,32
20/06/2026;DAS SIMPLES NACIONAL;-5200,00
07/06/2026;INSS GPS GUIA PREVIDENCIA;-8936,08
07/06/2026;FGTS CONECTIVIDADE SOCIAL;-4909,13
18/06/2026;POSTO SHELL CENTRO ABASTECIMENTO;-1750,29
22/06/2026;GOOGLE ADS CAMPANHA;-2979,23
22/06/2026;META ADS FACEBOOK INSTAGRAM;-2538,09
28/06/2026;TARIFA PACOTE DE SERVICOS BANCARIOS;-89,90
28/06/2026;IOF OPERACOES;-80,45
25/06/2026;TRANSFERENCIA ENTRE CONTAS PROPRIAS;-20000,00
06/07/2026;PIX RECEBIDO Northwind Logistica;27547,97
11/07/2026;PIX RECEBIDO Atlas Cloud;29606,36
16/07/2026;PIX RECEBIDO MERIDIAN DESIGN ME;20012,18
21/07/2026;PIX RECEBIDO AURORA VAREJO SA;36416,22
26/07/2026;PIX RECEBIDO COSTA & FILHOS;17123,10
09/07/2026;PIX RECEBIDO BRIGHTWELL SUPRIMENTOS;20579,75
23/07/2026;PIX RECEBIDO CLIENTE EVENTUAL 69;4488,17
19/07/2026;RECEBIMENTO CARTAO STONE VENDAS;9925,47
08/07/2026;BOLETO FORNECEDOR TEXTIL SA;-16335,61
13/07/2026;BOLETO DISTRIBUIDORA SUL LTDA;-12214,40
17/07/2026;BOLETO PAPELARIA UNIAO;-1721,75
05/07/2026;FOLHA DE PAGAMENTO FUNCIONARIOS;-64181,28
05/07/2026;PRO-LABORE SOCIOS;-18000,00
10/07/2026;ALUGUEL IMOBILIARIA CENTRAL;-9500,00
12/07/2026;ENEL DISTRIBUICAO ENERGIA;-2478,29
12/07/2026;VIVO INTERNET FIBRA EMPRESA;-419,90
13/07/2026;SABESP CONTA DE AGUA;-259,87
15/07/2026;AWS AMAZON WEB SERVICES;-1840,00
15/07/2026;OPENAI CHATGPT;-560,00
16/07/2026;ADOBE CREATIVE CLOUD;-320,00
16/07/2026;GOOGLE WORKSPACE;-410,00
17/07/2026;MICROSOFT OFFICE 365;-290,00
17/07/2026;SLACK TECNOLOGIA;-180,00
18/07/2026;FIGMA INC;-240,00
18/07/2026;GITHUB COPILOT;-90,00
20/07/2026;DARF IRPJ;-8327,87
20/07/2026;DAS SIMPLES NACIONAL;-5200,00
07/07/2026;INSS GPS GUIA PREVIDENCIA;-8726,79
07/07/2026;FGTS CONECTIVIDADE SOCIAL;-5124,52
18/07/2026;POSTO SHELL CENTRO ABASTECIMENTO;-1692,12
22/07/2026;GOOGLE ADS CAMPANHA;-2816,34
22/07/2026;META ADS FACEBOOK INSTAGRAM;-2185,45
28/07/2026;TARIFA PACOTE DE SERVICOS BANCARIOS;-89,90
28/07/2026;IOF OPERACOES;-38,26
24/07/2026;PAGAMENTO DIVERSOS;-1040,75
06/08/2026;PIX RECEBIDO Northwind Logistica;26936,30
11/08/2026;PIX RECEBIDO Atlas Cloud;30621,10
16/08/2026;PIX RECEBIDO MERIDIAN DESIGN ME;20863,34
21/08/2026;PIX RECEBIDO AURORA VAREJO;41049,22
26/08/2026;PIX RECEBIDO COSTA & FILHOS;18202,46
09/08/2026;PIX RECEBIDO Brightwell Suprimentos Ltda;20359,92
23/08/2026;PIX RECEBIDO CLIENTE EVENTUAL 62;4485,75
19/08/2026;RECEBIMENTO CARTAO STONE VENDAS;12300,64
08/08/2026;BOLETO FORNECEDOR TEXTIL SA;-14920,53
13/08/2026;BOLETO DISTRIBUIDORA SUL LTDA;-15487,45
17/08/2026;BOLETO PAPELARIA UNIAO;-1918,84
05/08/2026;FOLHA DE PAGAMENTO FUNCIONARIOS;-65441,24
05/08/2026;PRO-LABORE SOCIOS;-18000,00
10/08/2026;ALUGUEL IMOBILIARIA CENTRAL;-9500,00
12/08/2026;ENEL DISTRIBUICAO ENERGIA;-2485,05
12/08/2026;VIVO INTERNET FIBRA EMPRESA;-419,90
13/08/2026;SABESP CONTA DE AGUA;-260,23
15/08/2026;AWS AMAZON WEB SERVICES;-1840,00
15/08/2026;OPENAI CHATGPT;-560,00
16/08/2026;ADOBE CREATIVE CLOUD;-320,00
16/08/2026;GOOGLE WORKSPACE;-410,00
17/08/2026;MICROSOFT OFFICE 365;-290,00
17/08/2026;SLACK TECNOLOGIA;-180,00
18/08/2026;FIGMA INC;-240,00
18/08/2026;GITHUB COPILOT;-90,00
20/08/2026;DARF IRPJ;-8218,54
20/08/2026;DAS SIMPLES NACIONAL;-5200,00
07/08/2026;INSS GPS GUIA PREVIDENCIA;-9178,43
07/08/2026;FGTS CONECTIVIDADE SOCIAL;-4894,69
18/08/2026;POSTO SHELL CENTRO ABASTECIMENTO;-1184,38
22/08/2026;GOOGLE ADS CAMPANHA;-3497,87
22/08/2026;META ADS FACEBOOK INSTAGRAM;-2997,24
28/08/2026;TARIFA PACOTE DE SERVICOS BANCARIOS;-89,90
28/08/2026;IOF OPERACOES;-73,62
24/08/2026;PAGAMENTO DIVERSOS;-554,22
06/09/2026;PIX RECEBIDO NORTHWIND LOGISTICA COMERCIO;27493,56
11/09/2026;PIX RECEBIDO Atlas Cloud;28118,13
16/09/2026;PIX RECEBIDO MERIDIAN DESIGN ME;22682,11
21/09/2026;PIX RECEBIDO AURORA VAREJO;39125,49
26/09/2026;PIX RECEBIDO COSTA & FILHOS;20114,53
09/09/2026;PIX RECEBIDO Brightwell Suprimentos Ltda;26815,97
19/09/2026;RECEBIMENTO CARTAO STONE VENDAS;9074,45
08/09/2026;BOLETO FORNECEDOR TEXTIL SA;-19306,39
13/09/2026;BOLETO DISTRIBUIDORA SUL LTDA;-12904,54
17/09/2026;BOLETO PAPELARIA UNIAO;-1878,49
05/09/2026;FOLHA DE PAGAMENTO FUNCIONARIOS;-64304,84
05/09/2026;PRO-LABORE SOCIOS;-18000,00
10/09/2026;ALUGUEL IMOBILIARIA CENTRAL;-9500,00
12/09/2026;ENEL DISTRIBUICAO ENERGIA;-2159,82
12/09/2026;VIVO INTERNET FIBRA EMPRESA;-419,90
13/09/2026;SABESP CONTA DE AGUA;-298,83
15/09/2026;AWS AMAZON WEB SERVICES;-1840,00
15/09/2026;OPENAI CHATGPT;-560,00
16/09/2026;ADOBE CREATIVE CLOUD;-320,00
16/09/2026;GOOGLE WORKSPACE;-410,00
17/09/2026;MICROSOFT OFFICE 365;-290,00
17/09/2026;SLACK TECNOLOGIA;-180,00
18/09/2026;FIGMA INC;-240,00
18/09/2026;GITHUB COPILOT;-90,00
20/09/2026;DARF IRPJ;-7613,00
20/09/2026;DAS SIMPLES NACIONAL;-5200,00
07/09/2026;INSS GPS GUIA PREVIDENCIA;-8903,83
07/09/2026;FGTS CONECTIVIDADE SOCIAL;-5035,95
18/09/2026;POSTO SHELL CENTRO ABASTECIMENTO;-890,68
22/09/2026;GOOGLE ADS CAMPANHA;-2582,25
22/09/2026;META ADS FACEBOOK INSTAGRAM;-2546,38
28/09/2026;TARIFA PACOTE DE SERVICOS BANCARIOS;-89,90
28/09/2026;IOF OPERACOES;-75,81
25/09/2026;TRANSFERENCIA ENTRE CONTAS PROPRIAS;-20000,00
07/03/2026;COMPROVANTE SEM VALOR LEGIVEL;
DEBITO AUTORIZADO;;
